,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
68,13.4,7.7,2.5,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,102.9480861244019,6.405792268262776,82.54878048780489,1.933047540983607,34.73996982782262,5.0777777777777775
69,21.277,8.208,2.774,99.0,99.0,96.0,0.14,54.0,6.405792268262776,67.341,1.933047540983607,48.35703338806787,5.0777777777777775
70,8.6,9.9,1.41,91.0,86.86502286138119,96.0,0.6182203389830511,4.7,1.6296716121,81.73414634146343,1.933047540983607,18.148547267283078,5.0777777777777775
71,11.3,9.2,1.88,96.0,91.0,90.0,0.6182203389830511,8.9,1.1986365025,82.72439024390245,3.2672,122.2994372375193,5.0777777777777775
72,14.684,5.649,1.941,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,22.0,6.405792268262776,77.462,1.933047540983607,75.86857923497267,5.0777777777777775
73,31.611,6.833,3.969,70.0,70.0,59.0,0.81,525.0,6.405792268262776,66.187,1.933047540983607,8.224764233321691,5.0777777777777775
74,38.535,7.887,5.219,93.0,93.0,91.0,1.07,174.0,6.405792268262776,61.735,1.933047540983607,225.30652173913043,2.5
75,13.472,12.849,2.06,93.0,93.0,98.0,0.6182203389830511,80.0,2.2233624935,73.6,7.1201,65.197330207495,5.0777777777777775
76,9.5,11.5,1.57,93.0,87.0,97.0,0.6182203389830511,7.3,0.9479766191,80.89268292682927,1.933047540983607,237.30759674833982,5.0777777777777775
77,29.407,7.309,3.87,97.0,97.0,92.0,0.73,148.0,6.405792268262776,63.78,1.933047540983607,130.82142919926167,5.0777777777777775
78,19.470302335433498,7.61479427962278,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,102.9480861244019,6.405792268262776,72.76090832407365,1.933047540983607,3371.8,5.0777777777777775
79,8.1,11.2,1.35,99.0,96.0,97.0,0.6182203389830511,4.5,0.94086394499,81.7878048780488,1.933047540983607,83.26518231186967,5.0777777777777775
80,14.6,8.7,2.0,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,100.0,6.405792268262776,72.76090832407365,1.933047540983607,0.1364916555000609,5.0777777777777775
81,16.465,9.576,2.063,95.0,95.0,84.0,0.6182203389830511,2.1,6.405792268262776,72.384,1.933047540983607,327.8058823529412,5.0777777777777775
82,16.579,5.216,2.313,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,49.0,6.405792268262776,79.859,1.933047540983607,306.97777777777776,5.0777777777777775
83,24.561,4.738,2.87,86.0,86.0,87.0,0.07,26.0,22.501348718,74.063,0.3549,152.54712579320642,5.0777777777777775
84,36.364,8.452,4.7,47.0,47.0,47.0,0.46,176.0,6.405792268262776,61.185,1.933047540983607,50.52221227413316,5.6
85,35.125,9.612,4.476,88.0,88.0,86.0,1.25,361.0,6.405792268262776,58.003,1.933047540983607,66.65394736842106,5.0777777777777775
86,19.967,7.456,2.462,95.0,95.0,98.0,0.46,83.0,14.248909188,69.774,0.8023,3.9573482346964695,5.0777777777777775
87,24.349,8.534,2.935,64.0,64.0,69.0,0.53,176.0,6.67974266,63.66,0.2343,403.5985486211901,5.0777777777777775
88,21.599,4.437,2.46,90.0,90.0,89.0,0.12,37.0,38.925591104,75.088,1.933047540983607,85.68703190633659,5.0777777777777775
89,7.2,6.4,1.072,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,67.0,0.65113634144,84.93414634146343,1.933047540983607,7096.190476190476,5.0777777777777775
90,9.6,13.4,1.55,99.0,86.86502286138119,99.0,0.6182203389830511,6.4,6.405792268262776,76.0658536585366,3.4075,107.98148679995582,5.0777777777777775
91,12.0,6.4,1.71,91.0,86.86502286138119,93.0,0.6182203389830511,2.7,0.89096913683,82.86097560975611,4.0778,3.518413965087282,5.0777777777777775
92,17.857,7.234,2.222,90.0,90.0,93.0,0.6182203389830511,199.0,3.0792324418,69.416,0.8571,454.9380725752475,5.0777777777777775
93,18.072,6.465,2.311,85.0,85.0,89.0,0.6182203389830511,316.0,6.405792268262776,71.509,0.4269,147.75219008925959,8.0
94,18.783,4.843,2.137,99.0,99.0,99.0,0.05,14.0,6.405792268262776,76.479,1.5844,50.22242012328397,5.0777777777777775
95,29.075,4.776,3.672,84.0,84.0,83.0,0.6182203389830511,42.0,6.405792268262776,70.454,0.7079,88.53057003546171,6.1
96,12.5,6.4,1.75,94.0,94.0,92.0,0.6182203389830511,7.0,0.8716054599,82.25609756097562,3.3125,70.65344752503992,5.0777777777777775
97,19.470302335433498,7.61479427962278,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,102.9480861244019,6.405792268262776,72.76090832407365,1.933047540983607,147.50350877192983,5.0777777777777775
98,20.8,5.0,3.09,98.0,96.0,98.0,0.6182203389830511,4.0,6.405792268262776,82.80243902439025,4.6249,410.48059149722735,5.0777777777777775
99,7.3,10.5,1.29,95.0,95.0,93.0,0.05,7.0,0.5690506607,83.34634146341465,3.9774,205.41837220371252,5.0777777777777775
100,16.103,7.573,1.979,97.0,97.0,89.0,0.59,2.9,43.852281528,74.368,1.933047540983607,270.99307479224376,5.0777777777777775
101,7.4,11.0,1.42,98.0,86.86502286138119,97.0,0.6182203389830511,14.0,0.26257409562,84.2109756097561,1.933047540983607,347.0734584156243,5.0777777777777775
102,21.979,3.864,2.761,96.0,96.0,92.0,0.6182203389830511,5.0,6.405792268262776,74.405,1.933047540983607,112.14249831043028,5.0777777777777775
